Ciudad;2018;2019;Diferencia
Abidjan;81.39168975;81.5175;0.125810249
Abilene;64.42493151;65.32410959;0.899178082
Abu Dhabi;84.97063712;84.14958217;-0.821054946
Addis Ababa;62.12116041;63.11902017;0.997859763
Akron Canton;52.23671233;52.51835616;0.281643836
Albany;50.48438356;49.75945205;-0.724931507
Albuquerque;59.21972603;57.36630137;-1.853424658
Algiers;64.41944444;64.99275766;0.573313216
Allentown;54.09178082;54.43561644;0.343835616
Amarillo;58.62821918;57.40356164;-1.224657534
Amman;66.62825485;65.20473538;-1.423519472
Amsterdam;52.8475;52.4718663;-0.375633705
Anchorage;40.83369863;42.81561644;1.981917808
Ankara;54.77119114;52.82506964;-1.946121498
Antananarivo;65.99116022;67.19860724;1.207447021
Ashabad;65.45;65.19387187;-0.256128134
Asheville;57.39287671;58.27041096;0.877534247
Atlanta;63.80712329;65.5690411;1.761917808
Atlantic City;56.75260274;56.6109589;-0.141643836
Auckland;60.57950139;60.56267409;-0.01682729
Austin;68.56246575;68.78767123;0.225205479
Baltimore;56.56739726;57.96082192;1.393424658
Bangui;78.48305556;79.47794562;0.994890064
Banjul;77.83960674;78.76703911;0.927432365
Barcelona;62.72071823;62.3718663;-0.348851937
Beijing;55.84044321;56.49972145;0.659278235
Beirut;72.11464789;71.12234637;-0.992301519
Belfast;50.44833333;50.48913649;0.040803157
Belgrade;56.84626039;56.97520891;0.128948526
Belize City;81.01444444;81.82116992;0.806725472
Bern;51.19111111;50.17715877;-1.013952337
Bilbao;59.41298343;59.19944444;-0.213538981
Billings;46.14109589;46.02520548;-0.115890411
Birmingham;64.34027397;65.52493151;1.184657534
Bismarck;42.69808219;40.69232877;-2.005753425
Bissau;81.03722222;81.99241573;0.955193508
Bogota;56.97638889;57.66295265;0.686563757
Boise;54.05479452;52.74547945;-1.309315068
Bombay (Mumbai);83.75469613;82.85431755;-0.900378584
Bordeaux;57.69862637;57.70443213;0.005805759
Boston;52.71643836;53.13178082;0.415342466
Bratislava;54.25180055;54.254039;0.002238443
Brazzaville;78.52576177;78.59611111;0.070349338
Bridgeport;53.50164384;53.49287671;-0.008767123
Brisbane;69.1125;69.77576602;0.663266017
Brownsville;75.34054795;75.48986301;0.149315068
Brussels;53.05734072;52.50389972;-0.553440999
Bucharest;54.53287293;55.58495822;1.052085289
Budapest;54.03767313;54.03509749;-0.002575637
Buenos Aires;63.47472222;63.07130919;-0.40341303
Buffalo;49.43561644;48.15863014;-1.276986301
Burlington;48.39753425;46.67616438;-1.721369863
Cairo;75.71527778;73.83398329;-1.881294491
Calcutta;79.6019337;79.13955432;-0.462379384
Canberra;57.07900552;57.84066852;0.761662999
Capetown;62.82083333;63.0637883;0.242954968
Caracas;79.96971429;79.8167147;-0.152999588
Caribou;41.36164384;40.04493151;-1.316712329
Casper;45.71178082;43.45890411;-2.252876712
Charleston;61.62273973;62.1930137;0.570273973
Charlotte;62.59205479;63.60219178;1.010136986
Chattanooga;61.63780822;63.50219178;1.864383562
Chengdu;64.86333333;64.53704735;-0.32628598
Chennai (Madras);84.89641873;85.54736842;0.650949688
Cheyenne;47.29561644;45.65506849;-1.640547945
Chicago;51.05041096;49.69972603;-1.350684932
Cincinnati;55.39671233;55.92493151;0.528219178
Cleveland;52.56547945;52.78794521;0.222465753
Colombo;80.65487465;81.84401114;1.18913649
